codigo,descricao,codigo_classe
00001,RESISTOR CARBONO                                                                                    ,5905
00001,RESISTOR CARBONO                                                                                    ,5905
00001,RESISTOR CARBONO                                                                                    ,5905
00002,RESISTOR FILME METÁLICO                                                                             ,5905
00003,RESISTOR FIO                                                                                        ,5905
00003,RESISTOR FIO                                                                                        ,5905
00004,DISJUNTOR BAIXA TENSÃO                                                                              ,5925
00004,DISJUNTOR BAIXA TENSÃO                                                                              ,5925
00005,FITAS ADESIVAS                                                                                      ,7510
00006,FITA CORRETIVA MÁQUINA ESCREVER                                                                     ,7510
00007,FITA IMPRESSÃO MÁQUINA ESCREVER                                                                     ,7510
00008,FITA IMPRESSÃO MÁQUINA CALCULAR                                                                     ,7510
00009,BORRACHA APAGADORA                                                                                  ,7510
00010,FITA ROTULADORA                                                                                     ,7510
00011,CLIPE                                                                                               ,7510
00012,LÁPIS PRETO                                                                                         ,7510
00012,LÁPIS PRETO                                                                                         ,7510
00013,ÁCIDO BENZÓICO                                                                                      ,6810
00014,CANETAS HIDROGRAFICAS                                                                               ,7510
00015,LÁPIS BORRACHA                                                                                      ,7510
00016,LÁPIS DE COR                                                                                        ,7510
00016,LÁPIS DE COR                                                                                        ,7510
00017,MINA GRAFITE                                                                                        ,7510
00018,CORRETIVO LÍQUIDO                                                                                   ,7510
00019,CORRETIVO SECO                                                                                      ,7510
00020,PASTA ARQUIVO                                                                                       ,7510
00020,PASTA ARQUIVO                                                                                       ,7510
00020,PASTA ARQUIVO                                                                                       ,7510
00020,PASTA ARQUIVO                                                                                       ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00021,ETIQUETA ADESIVA                                                                                    ,7510
00022,ALMOFADA CARIMBO                                                                                    ,7520
00023,"""PAPEL IMPRESSÃO""                                                                                   ",9310
00024,RÉGUA ESCRITÓRIO                                                                                    ,7510
