codigo,descricao,codigo_classe
00614,SERROTE PODA                                                                                        ,3750
00614,SERROTE PODA                                                                                        ,3750
00614,SERROTE PODA                                                                                        ,3750
00615,MANGUEIRA HIDRÁULICA                                                                                ,4720
00615,MANGUEIRA HIDRÁULICA                                                                                ,4720
00615,MANGUEIRA HIDRÁULICA                                                                                ,4720
00615,MANGUEIRA HIDRÁULICA                                                                                ,4720
00615,MANGUEIRA HIDRÁULICA                                                                                ,4720
00615,MANGUEIRA HIDRÁULICA                                                                                ,4720
00615,MANGUEIRA HIDRÁULICA                                                                                ,4720
00616,MANGUEIRA JARDIM                                                                                    ,4720
00617,MANGUEIRA SUCÇÃO - SERVIÇOS LEVES                                                                   ,4720
00617,MANGUEIRA SUCÇÃO - SERVIÇOS LEVES                                                                   ,4720
00618,MANGUEIRA SUCÇÃO - SERVIÇOS PESADOS                                                                 ,4720
00618,MANGUEIRA SUCÇÃO - SERVIÇOS PESADOS                                                                 ,4720
00619,MANGUEIRA SUCÇÃO - SERVIÇOS SUPER PESADOS                                                           ,4720
00620,TUBO FLEXÍVEL                                                                                       ,4720
00620,TUBO FLEXÍVEL                                                                                       ,4720
00620,TUBO FLEXÍVEL                                                                                       ,4720
00621,ANEL BORRACHA                                                                                       ,4730
00621,ANEL BORRACHA                                                                                       ,4730
00622,NIPLE PARA TUBOS CANOS - ROSCÁVEL                                                                   ,4730
00623,TÊ - CONEXÃO PARA TUBOS CANOS - ROSCÁVEL                                                            ,4730
00623,TÊ - CONEXÃO PARA TUBOS CANOS - ROSCÁVEL                                                            ,4730
00624,TÊ - CONEXÃO PARA TUBOS E CANOS - SOLDÁVEL                                                          ,4730
00624,TÊ - CONEXÃO PARA TUBOS E CANOS - SOLDÁVEL                                                          ,4730
00625,UNIÃO SOLDÁVEL                                                                                      ,4730
00626,UNIÃO ROSCÁVEL                                                                                      ,4730
00627,SERROTE CARPINTEIRO                                                                                 ,5110
00628,TALHADEIRA                                                                                          ,5110
00628,TALHADEIRA                                                                                          ,5110
00628,TALHADEIRA                                                                                          ,5110
00629,CHAVE ESTRELA - MILIMETRADA                                                                         ,5120
00630,CHAVE ESTRELA - POLEGADA                                                                            ,5120
00630,CHAVE ESTRELA - POLEGADA                                                                            ,5120
00630,CHAVE ESTRELA - POLEGADA                                                                            ,5120
00631,PREGO ANELADO                                                                                       ,5315
00632,PREGO ARDOX COM CABEÇA                                                                              ,5315
00633,PREGO ARDOX SEM CABEÇA                                                                              ,5315
00634,BUCHA PARAFUSO                                                                                      ,5365
00634,BUCHA PARAFUSO                                                                                      ,5365
00634,BUCHA PARAFUSO                                                                                      ,5365
00634,BUCHA PARAFUSO                                                                                      ,5365
00635,PREGO COM CABEÇA                                                                                    ,5315
00635,PREGO COM CABEÇA                                                                                    ,5315
00636,PREGO COM CABEÇA DUPLA                                                                              ,5315
00637,PREGO PARA TACO                                                                                     ,5315
00638,PREGO QUADRADO                                                                                      ,5315
00639,PREGO SEM CABEÇA                                                                                    ,5315
00640,PREGO PARA TELHA                                                                                    ,5315
00641,PREGO VIDRACEIRO                                                                                    ,5315
00642,ARRUELA                                                                                             ,5310
00642,ARRUELA                                                                                             ,5310
00642,ARRUELA                                                                                             ,5310
00642,ARRUELA                                                                                             ,5310
00642,ARRUELA                                                                                             ,5310
00643,CABO TELEFÔNICO                                                                                     ,6145
00644,GÁS LIQUEFEITO DE PETRÓLEO - GLP                                                                    ,9130
00645,GASOLINA AVIAÇÃO                                                                                    ,9130
00646,ÓLEO DIESEL.                                                                                        ,9140
00647,CAMINHÃO CARGA                                                                                      ,2320
00647,CAMINHÃO CARGA                                                                                      ,2320
00647,CAMINHÃO CARGA                                                                                      ,2320
00647,CAMINHÃO CARGA                                                                                      ,2320
00647,CAMINHÃO CARGA                                                                                      ,2320
00647,CAMINHÃO CARGA                                                                                      ,2320
00648,VEÍCULO TRANSPORTE PESSOAL                                                                          ,2320
00648,VEÍCULO TRANSPORTE PESSOAL                                                                          ,2320
