codigo,descricao,codigo_classe
13144,UMIDIFICADOR E PURIFICADOR AMBIENTE                                                                 ,4130
13145,UMIDIFICADOR                                                                                        ,6515
13146,UNDECILENATO DE ZINCO                                                                               ,6505
13147,UBIDECARENONA                                                                                       ,6505
13148,UNIÃO REDUTORA                                                                                      ,4730
13149,CONEXÃO TUBO CONDUÇÃO                                                                               ,4730
13150,UNIAO TUBO PRECISAO                                                                                 ,4730
13151,UNIDADE A DIESEL COM GERADOR DE ENERGIA ELETRICA                                                    ,6115
13152,UNIDADE A GASOLINA DE GERACAO DE ENERGIA                                                            ,6116
13153,"""SERVIDOR""                                                                                          ",7010
13154,PEÇA/ACESSÓRIO/SUPRIMENTO ETIQUETADORA                                                              ,7030
13155,UNIDADE BLINDADA DE ROLAMENTO                                                                       ,3130
13156,"""MICROCOMPUTADOR NOTEBOOK""                                                                          ",7010
13157,UNIDADE COMPLETA DE CELULA COMBUSTIVEL                                                              ,6116
13158,UNIDADE COMPONENTE DE CENTRAL TELEFONICA                                                            ,5805
13159,UNIDADE COMPONENTE DE CENTRAL TELEGRAFICA                                                           ,5805
13160,PAINEL                                                                                              ,5805
13161,UNIDADE CORONARIANA - USO MEDICO                                                                    ,6530
13162,UNIDADE DE APARELHO DE CRIPTOLOGIA                                                                  ,5811
13163,UNIDADE DE BOMBEAMENTO DE ESGOTO                                                                    ,4630
13164,UNIDADE CD-ROM                                                                                      ,7030
13165,UNIDADE DE COMANDO                                                                                  ,9999
13166,UNIDADE DE COMANDO DE IGNICAO ELETRONICA - VEICULOAUTOMOTIVO                                        ,5962
13167,MICRO-COMPUTADOR                                                                                    ,7010
13168,UNIDADE DE CONTROLE DE FITA MAGNETICA                                                               ,7020
13169,UNIDADE LASER                                                                                       ,7070
13170,UNIDADE DE CRISTAL PIEZOELETRICO                                                                    ,5955
13171,UNIDADE FITA MAGNETICA                                                                              ,7030
13172,MÁQUINA ETIQUETADORA                                                                                ,3550
13173,UNIDADE DE FITA MAGNETICA EM CARTUCHO                                                               ,7025
13174,UNIDADE DE GRAVAÇÃO EXTERNA / INTERNA                                                               ,7030
13175,UNIDADE DE LIMPEZA FITA MAGNETICA                                                                   ,7035
13176,UNIDADE DE TRATAMENTO DE GAS SF6                                                                    ,4330
13177,UNIDADE DE TRATAMENTO DE OLEO ISOLANTE                                                              ,4330
13178,UNIDADE ELETROCIRURGICA                                                                             ,6530
13179,UNIDADE ESPECIAL PARA TRABALHO EM SONDA ( UTILITY UNITS )                                           ,4940
13180,UNIDADE ESTERILIZADORA                                                                              ,6530
13181,UNIDADE FLUXO LAMINAR                                                                               ,6640
13182,UNIDADE GRAVADORA CD / DVD                                                                          ,7030
13183,UNIDADE INDUSTRIAL MOVEL PARA LAVAGEM A SECO                                                        ,3510
13184,UNIDADE INDUSTRIAL MOVEL PARA LAVANDERIA                                                            ,3510
13185,UNIDADE MOVEL LUBRIFICACAO E ABASTECIMENTO                                                          ,4940
13186,UNIDADE MOVEL PARA TRATAMENTO DE OLEO                                                               ,4330
13187,USTEQUINUMABE                                                                                       ,6505
13187,USTEQUINUMABE                                                                                       ,6505
13187,USTEQUINUMABE                                                                                       ,6505
13188,4-NITROFENIL-BETA-D-GLICURONÍDEO                                                                    ,6810
13189,UNIDADE RENAL - USO MEDICO                                                                          ,6530
13190,UNIDADE RESPIRATORIO - USO MEDICO                                                                   ,6530
13191,UNIDADE RETIFICADORA TELEFONICA E TELEGRAFICA                                                       ,5805
